order_id;item_id;product_id;quantity;list_price;discount;;;;;;2.285.419,32;; 14.874.687,18 
17;2;23;1;299,99;0,1;;;;44; 4.599,98 ; 0,15 ;;
17;3;5;1;1320,99;0,1;;;;45; 3.439,97 ; 0,32 ;;
17;4;20;2;599,99;0,2;;;;46; 429,00 ; 0,10 ;;
18;1;2;2;749,99;0,2;;;;47; 1.769,96 ; 0,42 ;;
18;2;22;1;269,99;0,05;;;;48; 6.171,96 ; 0,47 ;;
18;3;7;1;3999,99;0,1;;;;49; 269,99 ; 0,07 ;;
18;4;25;2;499,99;0,05;;;;50; 1.869,97 ; 0,32 ;;
18;5;9;2;2999,99;0,1;;;;51; 1.469,97 ; 0,30 ;;
19;1;10;1;1549;0,07;;;;52; 499,99 ; 0,07 ;;
19;2;9;2;2999,99;0,2;;;;53; 2.869,96 ; 0,55 ;;
20;1;9;1;2999,99;0,07;;;;54; 1.599,98 ; 0,40 ;;
20;2;10;2;1549;0,07;;;;55; 1.299,97 ; 0,45 ;;
21;1;14;1;269,99;0,05;;;;56; 599,99 ; 0,07 ;;
21;2;17;1;429;0,1;;;;57; 1.018,98 ; 0,37 ;;
21;3;10;1;1549;0,07;;;;58; 1.018,98 ; 0,22 ;;
22;1;15;2;529,99;0,2;;;;59; 1.448,98 ; 0,25 ;;
22;2;22;1;269,99;0,05;;;;60; 3.969,96 ; 0,42 ;;
23;1;4;2;2899,99;0,05;;;;61; 2.350,97 ; 0,35 ;;
23;2;23;2;299,99;0,1;;;;62; 2.339,97 ; 0,27 ;;
23;3;13;1;269,99;0,2;;;;63; 1.948,98 ; 0,25 ;;
24;1;3;2;999,99;0,1;;;;64; 1.619,96 ; 0,60 ;;
24;2;18;2;449;0,07;;;;65; 549,99 ; 0,10 ;;
25;1;23;2;299,99;0,2;;;;66; 1.599,97 ; 0,34 ;;
25;2;10;2;1549;0,2;;;;67; 2.889,96 ; 0,80 ;;
25;3;22;1;269,99;0,2;;;;68; 698,99 ; 0,17 ;;
25;4;14;1;269,99;0,2;;;;69; 3.139,98 ; 0,35 ;;
25;5;21;1;269,99;0,1;;;;71; 1.598,98 ; 0,35 ;;
26;1;7;1;3999,99;0,05;;;;72; 1.248,98 ; 0,22 ;;
26;2;2;1;749,99;0,2;;;;73; 2.669,95 ; 0,46 ;;
26;3;12;1;549,99;0,2;;;;74; 1.069,98 ; 0,12 ;;
26;4;21;2;269,99;0,07;;;;75; 5.529,97 ; 0,37 ;;
27;1;5;1;1320,99;0,2;;;;77; 2.249,96 ; 0,57 ;;
27;2;19;1;449;0,2;;;;78; 1.596,99 ; 0,47 ;;
27;3;26;2;599,99;0,07;;;;79; 4.398,97 ; 0,32 ;;
27;4;8;1;1799,99;0,07;;;;80; 1.578,98 ; 0,40 ;;
28;1;5;1;1320,99;0,05;;;;81; 2.348,98 ; 0,30 ;;
28;2;7;2;3999,99;0,2;;;;82; 2.180,98 ; 0,30 ;;
28;3;14;2;269,99;0,1;;;;83; 1.599,98 ; 0,25 ;;
28;4;6;1;469,99;0,05;;;;84; 829,98 ; 0,14 ;;
29;1;24;2;549,99;0,05;;;;85; 3.348,99 ; 0,12 ;;
29;2;6;1;469,99;0,2;;;;86; 4.099,96 ; 0,47 ;;
29;3;21;2;269,99;0,1;;;;87; 899,98 ; 0,30 ;;
29;4;8;1;1799,99;0,2;;;;88; 7.348,98 ; 0,27 ;;
29;5;14;2;269,99;0,05;;;;89; 1.790,98 ; 0,15 ;;
30;1;26;1;599,99;0,05;;;;90; 1.469,98 ; 0,17 ;;
30;2;17;1;429;0,07;;;;91; 2.980,96 ; 0,29 ;;
30;3;19;1;449;0,1;;;;92; 1.799,99 ; 0,10 ;;
30;4;4;1;2899,99;0,1;;;;93; 3.267,97 ; 0,49 ;;
30;5;7;2;3999,99;0,1;;;;94; 5.400,96 ; 0,52 ;;
31;1;11;2;1680,99;0,05;;;;95; 4.397,98 ; 0,55 ;;
31;2;9;2;2999,99;0,2;;;;96; 899,98 ; 0,15 ;;
32;1;8;2;1799,99;0,07;;;;97; 2.268,97 ; 0,57 ;;
32;2;12;2;549,99;0,07;;;;98; 1.738,97 ; 0,57 ;;
32;3;25;2;499,99;0,1;;;;99; 5.339,95 ; 0,72 ;;
33;1;23;2;299,99;0,07;;;;100; 7.380,95 ; 0,65 ;;
33;2;7;1;3999,99;0,1;;;;101; 549,99 ; 0,20 ;;
34;1;8;2;1799,99;0,07;;;;102; 799,98 ; 0,12 ;;
34;2;10;2;1549;0,1;;;;103; 5.407,97 ; 0,52 ;;
34;3;17;2;429;0,2;;;;104; 1.048,99 ; 0,15 ;;
35;1;18;1;449;0,05;;;;105; 5.680,97 ; 0,30 ;;
35;2;20;2;599,99;0,05;;;;106; 698,99 ; 0,20 ;;
35;3;5;1;1320,99;0,2;;;;107; 718,99 ; 0,30 ;;
35;4;21;2;269,99;0,07;;;;108; 2.550,97 ; 0,22 ;;
35;5;22;1;269,99;0,07;;;;109; 739,98 ; 0,17 ;;
36;1;9;1;2999,99;0,07;;;;110; 269,99 ; 0,10 ;;
36;2;5;1;1320,99;0,05;;;;111; 819,98 ; 0,17 ;;
36;3;3;2;999,99;0,2;;;;112; 2.670,96 ; 0,52 ;;
37;1;16;2;599,99;0,05;;;;113; 3.190,95 ; 0,64 ;;
38;1;7;2;3999,99;0,05;;;;114; 1.569,97 ; 0,22 ;;
38;2;23;1;299,99;0,07;;;;115; 718,99 ; 0,30 ;;
38;3;25;1;499,99;0,2;;;;116; 599,99 ; 0,05 ;;
38;4;10;2;1549;0,1;;;;117; 1.588,97 ; 0,50 ;;
38;5;24;1;549,99;0,07;;;;118; 5.118,96 ; 0,38 ;;
39;1;22;2;269,99;0,2;;;;119; 499,99 ; 0,05 ;;
39;2;16;2;599,99;0,2;;;;120; 3.317,97 ; 0,40 ;;
39;3;3;2;999,99;0,05;;;;121; 5.790,95 ; 0,52 ;;
39;4;15;1;529,99;0,1;;;;122; 599,99 ; 0,10 ;;
40;1;17;1;429;0,2;;;;123; 549,99 ; 0,10 ;;
40;2;8;2;1799,99;0,2;;;;124; 7.499,97 ; 0,17 ;;
41;1;5;1;1320,99;0,1;;;;125; 429,00 ; 0,10 ;;
41;2;19;2;449;0,2;;;;126; 2.999,99 ; 0,05 ;;
41;3;26;2;599,99;0,2;;;;127; 3.928,98 ; 0,24 ;;
42;1;19;1;449;0,05;;;;128; 5.049,96 ; 0,60 ;;
43;1;13;2;269,99;0,1;;;;129; 3.448,99 ; 0,20 ;;
43;2;12;2;549,99;0,05;;;;130; 1.920,98 ; 0,12 ;;
44;1;7;1;3999,99;0,1;;;;131; 3.719,97 ; 0,37 ;;
44;2;16;1;599,99;0,05;;;;132; 4.349,97 ; 0,20 ;;
45;1;4;2;2899,99;0,2;;;;133; 539,98 ; 0,25 ;;
45;2;22;1;269,99;0,07;;;;134; 1.647,99 ; 0,24 ;;
45;3;21;2;269,99;0,05;;;;135; 3.019,97 ; 0,35 ;;
46;1;17;1;429;0,1;;;;136; 4.999,98 ; 0,25 ;;
47;1;6;1;469,99;0,05;;;;137; 569,98 ; 0,17 ;;
47;2;15;1;529,99;0,1;;;;138; 1.069,98 ; 0,30 ;;
47;3;25;2;499,99;0,07;;;;139; 1.448,99 ; 0,14 ;;
47;4;13;1;269,99;0,2;;;;140; 2.349,96 ; 0,65 ;;
48;1;11;1;1680,99;0,1;;;;141; 449,00 ; 0,20 ;;
48;2;4;1;2899,99;0,2;;;;142; 2.729,98 ; 0,27 ;;
48;3;5;2;1320,99;0,1;;;;143; 469,99 ; 0,20 ;;
48;4;14;2;269,99;0,07;;;;144; 1.799,99 ; 0,05 ;;
49;1;13;2;269,99;0,07;;;;145; 4.680,98 ; 0,30 ;;
50;1;3;1;999,99;0,05;;;;146; 3.369,95 ; 0,52 ;;
50;2;26;2;599,99;0,07;;;;147; 599,99 ; 0,20 ;;
50;3;13;2;269,99;0,2;;;;148; 269,99 ; 0,05 ;;
51;1;13;1;269,99;0,05;;;;149; 819,98 ; 0,14 ;;
51;2;20;1;599,99;0,05;;;;150; 5.928,97 ; 0,44 ;;
51;3;26;2;599,99;0,2;;;;151; 1.028,99 ; 0,20 ;;
52;1;25;1;499,99;0,07;;;;152; 1.339,97 ; 0,47 ;;
53;1;8;2;1799,99;0,2;;;;153; 2.929,97 ; 0,19 ;;
53;2;23;2;299,99;0,05;;;;154; 549,99 ; 0,10 ;;
53;3;14;2;269,99;0,2;;;;155; 1.799,99 ; 0,10 ;;
53;4;25;2;499,99;0,1;;;;156; 1.347,99 ; 0,32 ;;
54;1;26;2;599,99;0,2;;;;157; 6.899,98 ; 0,17 ;;
54;2;3;1;999,99;0,2;;;;159; 269,99 ; 0,20 ;;
55;1;21;1;269,99;0,05;;;;160; 2.929,97 ; 0,29 ;;
55;2;25;2;499,99;0,2;;;;161; 4.819,97 ; 0,17 ;;
55;3;15;2;529,99;0,2;;;;162; 1.718,98 ; 0,24 ;;
56;1;20;2;599,99;0,07;;;;163; 998,99 ; 0,30 ;;
57;1;23;2;299,99;0,1;;;;164; 4.718,98 ; 0,20 ;;
57;2;19;2;449;0,2;;;;165; 3.949,97 ; 0,30 ;;
57;3;13;1;269,99;0,07;;;;166; 3.229,99 ; 0,30 ;;
58;1;14;2;269,99;0,05;;;;167; 6.368,97 ; 0,35 ;;
58;2;18;1;449;0,07;;;;168; 2.970,96 ; 0,44 ;;
58;3;23;1;299,99;0,1;;;;169; 5.420,96 ; 0,60 ;;
59;1;21;1;269,99;0,05;;;;170; 5.548,97 ; 0,40 ;;
59;2;2;1;749,99;0,1;;;;171; 1.799,99 ; 0,05 ;;
59;3;17;2;429;0,1;;;;172; 899,98 ; 0,27 ;;
60;1;14;2;269,99;0,05;;;;173; 1.469,97 ; 0,30 ;;
60;2;4;1;2899,99;0,1;;;;174; 718,99 ; 0,30 ;;
60;3;15;1;529,99;0,07;;;;175; 2.789,97 ; 0,47 ;;
60;4;22;1;269,99;0,2;;;;176; 3.030,97 ; 0,32 ;;
61;1;25;1;499,99;0,1;;;;177; 599,99 ; 0,10 ;;
61;2;15;2;529,99;0,05;;;;178; 3.547,98 ; 0,42 ;;
61;3;5;2;1320,99;0,2;;;;179; 2.468,96 ; 0,65 ;;
62;1;14;1;269,99;0,07;;;;180; 599,99 ; 0,07 ;;
62;2;8;2;1799,99;0,1;;;;181; 4.309,97 ; 0,40 ;;
62;3;22;2;269,99;0,1;;;;182; 1.049,98 ; 0,12 ;;
63;1;25;2;499,99;0,1;;;;183; 3.108,98 ; 0,39 ;;
63;2;19;2;449;0,05;;;;184; 4.490,97 ; 0,40 ;;
63;3;3;1;999,99;0,1;;;;186; 3.369,98 ; 0,20 ;;
64;1;25;2;499,99;0,1;;;;187; 1.320,99 ; 0,05 ;;
64;2;22;2;269,99;0,2;;;;188; 3.999,99 ; 0,07 ;;
64;3;23;2;299,99;0,2;;;;189; 599,99 ; 0,20 ;;
64;4;24;2;549,99;0,1;;;;190; 2.079,97 ; 0,45 ;;
65;1;12;1;549,99;0,1;;;;191; 4.149,95 ; 0,42 ;;
66;1;2;1;749,99;0,2;;;;192; 5.148,96 ; 0,49 ;;
66;2;23;1;299,99;0,07;;;;193; 549,99 ; 0,10 ;;
66;3;12;1;549,99;0,07;;;;194; 269,99 ; 0,20 ;;
67;1;23;2;299,99;0,2;;;;195; 5.209,96 ; 0,75 ;;
67;2;12;2;549,99;0,1;;;;196; 4.168,96 ; 0,36 ;;
67;3;21;1;269,99;0,2;;;;197; 3.649,98 ; 0,27 ;;
67;4;5;2;1320,99;0,1;;;;198; 3.568,96 ; 0,42 ;;
67;5;19;1;449;0,2;;;;199; 3.848,98 ; 0,32 ;;
68;1;13;2;269,99;0,07;;;;200; 569,98 ; 0,12 ;;
68;2;17;1;429;0,1;;;;201; 5.248,97 ; 0,40 ;;
69;1;22;2;269,99;0,1;;;;202; 3.258,97 ; 0,22 ;;
69;2;5;1;1320,99;0,2;;;;203; 2.477,98 ; 0,42 ;;
69;3;10;1;1549;0,05;;;;204; 898,99 ; 0,17 ;;
70;1;3;2;999,99;0,05;;;;205; 819,98 ; 0,15 ;;
70;2;18;1;449;0,2;;;;206; 1.099,98 ; 0,25 ;;
70;3;20;1;599,99;0,05;;;;207; 7.551,96 ; 0,42 ;;
71;1;26;2;599,99;0,05;;;;208; 6.468,96 ; 0,42 ;;
71;2;24;1;549,99;0,2;;;;209; 269,99 ; 0,10 ;;
71;3;18;1;449;0,1;;;;210; 539,98 ; 0,27 ;;
72;1;17;2;429;0,07;;;;211; 2.298,99 ; 0,14 ;;
72;2;12;1;549,99;0,05;;;;212; 5.598,97 ; 0,57 ;;
72;3;13;2;269,99;0,1;;;;213; 269,99 ; 0,10 ;;
73;1;22;1;269,99;0,07;;;;214; 269,99 ; 0,10 ;;
73;2;26;2;599,99;0,05;;;;215; 998,99 ; 0,17 ;;
73;3;3;2;999,99;0,07;;;;216; 869,98 ; 0,15 ;;
73;4;25;1;499,99;0,07;;;;217; 2.427,00 ; 0,27 ;;
73;5;23;2;299,99;0,2;;;;218; 1.569,97 ; 0,22 ;;
74;1;16;2;599,99;0,05;;;;219; 1.920,98 ; 0,25 ;;
74;2;6;1;469,99;0,07;;;;220; 2.239,96 ; 0,42 ;;
75;1;3;1;999,99;0,1;;;;221; 1.680,99 ; 0,07 ;;
75;2;7;2;3999,99;0,07;;;;222; 2.298,99 ; 0,20 ;;
75;3;15;1;529,99;0,2;;;;223; 6.720,95 ; 0,45 ;;
76;1;12;1;549,99;0,05;;;;224; 4.199,97 ; 0,42 ;;
76;2;11;2;1680,99;0,1;;;;225; 3.269,98 ; 0,20 ;;
76;3;5;1;1320,99;0,07;;;;226; 749,99 ; 0,05 ;;
77;1;20;1;599,99;0,07;;;;227; 1.529,98 ; 0,15 ;;
77;2;24;2;549,99;0,1;;;;228; 4.719,95 ; 0,62 ;;
77;3;26;1;599,99;0,2;;;;229; 3.620,97 ; 0,50 ;;
77;4;25;1;499,99;0,2;;;;230; 1.680,99 ; 0,07 ;;
78;1;17;1;429;0,07;;;;231; 3.390,97 ; 0,47 ;;
78;2;19;1;449;0,2;;;;232; 4.529,97 ; 0,29 ;;
78;3;18;2;449;0,1;;;;233; 1.949,96 ; 0,47 ;;
78;4;14;2;269,99;0,1;;;;234; 6.959,96 ; 0,50 ;;
79;1;9;2;2999,99;0,1;;;;235; 4.739,97 ; 0,17 ;;
79;2;17;2;429;0,05;;;;236; 4.649,97 ; 0,27 ;;
79;3;6;1;469,99;0,1;;;;237; 2.279,96 ; 0,52 ;;
79;4;25;2;499,99;0,07;;;;238; 5.639,95 ; 0,59 ;;
80;1;26;1;599,99;0,1;;;;240; 6.569,97 ; 0,28 ;;
80;2;24;1;549,99;0,1;;;;241; 3.999,99 ; 0,20 ;;
80;3;17;1;429;0,2;;;;242; 999,99 ; 0,20 ;;
81;1;10;2;1549;0,2;;;;243; 4.948,98 ; 0,17 ;;
81;2;23;2;299,99;0,05;;;;244; 1.218,98 ; 0,37 ;;
81;3;25;2;499,99;0,05;;;;245; 3.348,99 ; 0,15 ;;
82;1;25;2;499,99;0,1;;;;247; 1.499,98 ; 0,27 ;;
82;2;11;2;1680,99;0,2;;;;248; 4.298,97 ; 0,50 ;;
83;1;20;1;599,99;0,2;;;;249; 4.718,98 ; 0,20 ;;
83;2;3;2;999,99;0,05;;;;250; 2.109,99 ; 0,15 ;;
84;1;23;2;299,99;0,07;;;;251; 569,98 ; 0,25 ;;
84;2;15;2;529,99;0,07;;;;252; 5.029,98 ; 0,27 ;;
85;1;4;2;2899,99;0,05;;;;253; 1.680,99 ; 0,07 ;;
85;2;18;1;449;0,07;;;;254; 2.019,97 ; 0,17 ;;
86;1;9;2;2999,99;0,1;;;;255; 2.610,96 ; 0,57 ;;
86;2;23;2;299,99;0,07;;;;256; 1.950,98 ; 0,15 ;;
86;3;21;2;269,99;0,2;;;;257; 4.148,97 ; 0,47 ;;
86;4;15;1;529,99;0,1;;;;258; 5.597,98 ; 0,24 ;;
87;1;20;2;599,99;0,2;;;;259; 4.719,96 ; 0,45 ;;
87;2;23;2;299,99;0,1;;;;260; 2.398,98 ; 0,60 ;;
88;1;10;1;1549;0,07;;;;261; 1.298,98 ; 0,25 ;;
88;2;8;2;1799,99;0,1;;;;262; 3.749,98 ; 0,12 ;;
88;3;7;1;3999,99;0,1;;;;263; 4.749,97 ; 0,32 ;;
89;1;5;1;1320,99;0,05;;;;265; 2.999,99 ; 0,20 ;;
89;2;6;2;469,99;0,1;;;;266; 1.418,98 ; 0,32 ;;
90;1;3;1;999,99;0,1;;;;267; 5.389,95 ; 0,52 ;;
90;2;6;1;469,99;0,07;;;;268; 7.469,97 ; 0,35 ;;
91;1;11;1;1680,99;0,1;;;;269; 3.069,97 ; 0,24 ;;
91;2;25;1;499,99;0,05;;;;270; 1.029,98 ; 0,30 ;;
91;3;15;2;529,99;0,07;;;;271; 6.420,96 ; 0,32 ;;
91;4;13;2;269,99;0,07;;;;272; 2.430,98 ; 0,14 ;;
92;1;8;1;1799,99;0,1;;;;273; 269,99 ; 0,10 ;;
93;1;22;2;269,99;0,07;;;;274; 5.180,97 ; 0,22 ;;
93;2;17;1;429;0,05;;;;275; 4.948,98 ; 0,20 ;;
93;3;21;1;269,99;0,1;;;;276; 4.428,98 ; 0,32 ;;
93;4;2;1;749,99;0,2;;;;277; 1.339,97 ; 0,50 ;;
93;5;10;2;1549;0,07;;;;278; 2.999,97 ; 0,41 ;;
94;1;12;1;549,99;0,05;;;;279; 499,99 ; 0,07 ;;
94;2;4;1;2899,99;0,2;;;;280; 1.369,97 ; 0,21 ;;
94;3;11;1;1680,99;0,2;;;;281; 4.539,97 ; 0,24 ;;
94;4;21;2;269,99;0,07;;;;282; 6.199,96 ; 0,26 ;;
95;1;10;2;1549;0,2;;;;283; 3.599,98 ; 0,25 ;;
95;2;19;1;449;0,1;;;;284; 1.149,98 ; 0,40 ;;
95;3;8;2;1799,99;0,2;;;;285; 1.899,97 ; 0,20 ;;
95;4;20;2;599,99;0,05;;;;286; 5.469,96 ; 0,47 ;;
96;1;26;1;599,99;0,1;;;;287; 4.219,97 ; 0,35 ;;
96;2;23;1;299,99;0,05;;;;288; 8.448,98 ; 0,35 ;;
97;1;20;2;599,99;0,2;;;;289; 1.248,98 ; 0,47 ;;
97;2;2;1;749,99;0,07;;;;290; 2.340,97 ; 0,24 ;;
97;3;6;2;469,99;0,2;;;;291; 739,98 ; 0,12 ;;
97;4;19;1;449;0,1;;;;292; 4.897,99 ; 0,22 ;;
98;1;19;1;449;0,07;;;;293; 918,99 ; 0,25 ;;
98;2;21;1;269,99;0,1;;;;294; 5.218,97 ; 0,65 ;;
98;3;2;1;749,99;0,2;;;;295; 269,99 ; 0,07 ;;
98;4;22;2;269,99;0,2;;;;296; 5.730,96 ; 0,47 ;;
99;1;13;1;269,99;0,2;;;;297; 2.899,99 ; 0,20 ;;
99;2;21;1;269,99;0,2;;;;298; 4.309,95 ; 0,62 ;;
99;3;25;2;499,99;0,05;;;;299; 3.229,99 ; 0,25 ;;
99;4;7;2;3999,99;0,07;;;;300; 6.829,97 ; 0,50 ;;
99;5;23;2;299,99;0,2;;;;301; 739,98 ; 0,15 ;;
100;1;12;2;549,99;0,05;;;;302; 1.748,98 ; 0,47 ;;
100;2;11;2;1680,99;0,1;;;;303; 2.349,98 ; 0,10 ;;
100;3;7;2;3999,99;0,2;;;;304; 6.148,98 ; 0,25 ;;
100;4;16;2;599,99;0,2;;;;305; 3.018,98 ; 0,37 ;;
100;5;24;2;549,99;0,1;;;;306; 1.818,99 ; 0,27 ;;
101;1;12;2;549,99;0,2;;;;307; 529,99 ; 0,05 ;;
102;1;15;1;529,99;0,05;;;;308; 4.718,98 ; 0,50 ;;
102;2;22;1;269,99;0,07;;;;309; 1.549,98 ; 0,10 ;;
103;1;17;1;429;0,07;;;;310; 7.390,96 ; 0,57 ;;
103;2;3;1;999,99;0,05;;;;311; 1.749,99 ; 0,25 ;;
103;3;18;1;449;0,2;;;;312; 1.419,97 ; 0,17 ;;
103;4;15;2;529,99;0,1;;;;313; 4.448,99 ; 0,14 ;;
103;5;9;2;2999,99;0,1;;;;314; 8.590,96 ; 0,39 ;;
104;1;19;2;449;0,1;;;;315; 4.680,98 ; 0,30 ;;
104;2;26;1;599,99;0,05;;;;316; 2.827,97 ; 0,65 ;;
105;1;11;2;1680,99;0,2;;;;317; 2.618,97 ; 0,50 ;;
105;2;3;1;999,99;0,05;;;;318; 3.769,97 ; 0,35 ;;
105;3;9;1;2999,99;0,05;;;;319; 2.780,96 ; 0,42 ;;
106;1;17;1;429;0,1;;;;320; 749,99 ; 0,10 ;;
106;2;13;2;269,99;0,1;;;;321; 4.349,96 ; 0,80 ;;
107;1;19;1;449;0,2;;;;322; 539,98 ; 0,27 ;;
107;2;13;2;269,99;0,1;;;;323; 869,98 ; 0,17 ;;
108;1;11;1;1680,99;0,1;;;;324; 2.447,97 ; 0,60 ;;
108;2;22;2;269,99;0,07;;;;325; 5.019,97 ; 0,45 ;;
108;3;16;2;599,99;0,05;;;;326; 849,98 ; 0,17 ;;
109;1;22;2;269,99;0,1;;;;327; 3.719,97 ; 0,19 ;;
109;2;6;1;469,99;0,07;;;;328; 469,99 ; 0,10 ;;
110;1;14;1;269,99;0,1;;;;329; 3.398,96 ; 0,44 ;;
111;1;14;1;269,99;0,1;;;;330; 269,99 ; 0,05 ;;
111;2;12;2;549,99;0,07;;;;331; 429,00 ; 0,10 ;;
112;1;23;2;299,99;0,2;;;;332; 449,00 ; 0,05 ;;
112;2;25;2;499,99;0,07;;;;333; 3.248,98 ; 0,32 ;;
112;3;24;2;549,99;0,05;;;;334; 4.599,97 ; 0,30 ;;
112;4;5;1;1320,99;0,2;;;;335; 1.489,97 ; 0,27 ;;
113;1;12;2;549,99;0,07;;;;336; 3.449,98 ; 0,30 ;;
113;2;24;2;549,99;0,1;;;;337; 3.348,99 ; 0,10 ;;
113;3;6;1;469,99;0,07;;;;338; 6.969,96 ; 0,36 ;;
113;4;23;1;299,99;0,2;;;;339; 799,98 ; 0,15 ;;
113;5;5;2;1320,99;0,2;;;;340; 4.599,96 ; 0,37 ;;
114;1;12;1;549,99;0,05;;;;341; 299,99 ; 0,05 ;;
114;2;2;1;749,99;0,07;;;;342; 4.199,97 ; 0,37 ;;
114;3;13;2;269,99;0,1;;;;343; 3.969,97 ; 0,40 ;;
115;1;22;1;269,99;0,2;;;;344; 988,98 ; 0,32 ;;
115;2;19;1;449;0,1;;;;345; 998,99 ; 0,17 ;;
116;1;26;1;599,99;0,05;;;;346; 1.818,96 ; 0,47 ;;
117;1;22;2;269,99;0,2;;;;347; 299,99 ; 0,07 ;;
117;2;26;1;599,99;0,05;;;;348; 1.850,98 ; 0,12 ;;
117;3;14;1;269,99;0,2;;;;351; 4.319,96 ; 0,42 ;;
117;4;19;1;449;0,05;;;;352; 1.950,98 ; 0,40 ;;
118;1;18;1;449;0,07;;;;353; 749,99 ; 0,20 ;;
118;2;4;1;2899,99;0,07;;;;354; 718,99 ; 0,25 ;;
118;3;6;1;469,99;0,07;;;;355; 869,98 ; 0,17 ;;
118;4;3;2;999,99;0,1;;;;356; 3.469,97 ; 0,15 ;;
118;5;23;2;299,99;0,07;;;;358; 2.988,97 ; 0,32 ;;
119;1;25;1;499,99;0,05;;;;359; 7.529,97 ; 0,34 ;;
120;1;13;2;269,99;0,05;;;;360; 5.369,96 ; 0,40 ;;
120;2;6;2;469,99;0,05;;;;361; 2.700,97 ; 0,25 ;;
120;3;10;2;1549;0,05;;;;362; 749,99 ; 0,07 ;;
120;4;17;1;429;0,05;;;;363; 1.669,96 ; 0,47 ;;
120;5;16;2;599,99;0,2;;;;364; 499,99 ; 0,05 ;;
121;1;5;1;1320,99;0,2;;;;365; 549,99 ; 0,07 ;;
121;2;14;2;269,99;0,1;;;;366; 3.769,97 ; 0,37 ;;
121;3;4;2;2899,99;0,1;;;;367; 2.418,98 ; 0,20 ;;
121;4;24;2;549,99;0,07;;;;368; 3.588,98 ; 0,55 ;;
121;5;2;2;749,99;0,05;;;;369; 1.549,00 ; 0,07 ;;
122;1;16;1;599,99;0,1;;;;370; 3.399,98 ; 0,15 ;;
